sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_jail_time (days),date_dif_in_jail,c_charge_degree,is_recid,decile_score,score_text,two_year_recid
Male,Greater than 45,Other,0,0,0,0,-1,2013-08-13 06:03:42,2013-08-14 05:41:20,0.984467592592409,1,F,0,1,Low,0
Male,25 - 45,African-American,0,0,0,0,-1,2013-01-26 03:45:27,2013-02-05 05:36:53,10.0773842592607,10,F,1,3,Low,1
Male,Less than 25,African-American,0,0,1,4,-1,2013-04-13 04:58:34,2013-04-14 07:02:04,1.08576388888469,1,F,1,4,Low,1
Male,25 - 45,Other,0,0,0,0,0,2013-11-30 04:50:18,2013-12-01 12:28:56,1.3184953703676,1,M,0,1,Low,0
Male,25 - 45,Caucasian,0,0,0,14,-1,2014-02-18 05:08:24,2014-02-24 12:18:30,6.29868055555562,6,F,1,6,Medium,1
Male,25 - 45,Other,0,0,0,3,-1,2013-08-29 08:55:23,2013-08-30 08:42:13,0.990856481483206,1,F,0,4,Low,0
Female,25 - 45,Caucasian,0,0,0,0,-1,2014-03-15 05:35:34,2014-03-18 04:28:46,2.95361111111561,3,M,0,1,Low,0
Male,25 - 45,Caucasian,0,0,0,0,-1,2013-11-25 06:31:06,2013-11-26 08:26:57,1.08045138888701,1,F,0,4,Low,0
Male,Less than 25,African-American,0,0,0,3,0,2013-10-03 04:07:35,2013-10-07 08:17:30,4.17355324074015,4,M,1,6,Medium,1
Female,25 - 45,Caucasian,0,0,0,0,0,2013-01-01 03:28:03,2013-01-02 01:12:19,0.905740740745387,1,M,0,1,Low,0
Male,25 - 45,African-American,0,0,0,0,-1,2013-10-08 11:53:09,2013-10-09 02:16:51,0.599791666667443,1,F,0,4,Low,0
Female,Greater than 45,Caucasian,0,0,0,1,-20,2013-10-10 05:12:58,2013-10-24 11:30:00,14.2618287037039,14,F,1,1,Low,1
Male,25 - 45,African-American,0,0,0,7,22,2014-06-25 02:15:57,2014-06-28 05:02:21,3.11555555555242,3,F,1,3,Low,1
Male,25 - 45,Hispanic,0,0,0,0,0,2014-03-24 03:20:57,2014-03-24 09:09:10,0.241817129623087,0,M,0,1,Low,0
Male,25 - 45,African-American,0,0,0,3,-1,2013-12-21 05:42:02,2013-12-22 09:11:18,1.14532407407387,1,F,0,10,High,0
Male,25 - 45,Caucasian,0,0,0,6,-1,2013-11-16 07:12:12,2013-11-17 08:28:54,1.0532638888908,1,F,1,5,Medium,1
Male,25 - 45,Caucasian,0,0,0,5,-1,2014-11-14 01:37:05,2014-11-15 04:57:04,1.13887731481373,1,F,1,3,Low,1
Male,Greater than 45,African-American,0,0,0,13,-1,2014-05-01 06:49:08,2014-05-02 09:28:02,1.11034722222394,1,F,1,6,Medium,1
Male,Less than 25,African-American,0,0,0,1,-1,2013-04-17 01:40:58,2013-04-20 04:19:42,3.11023148148524,3,F,1,9,High,1
Male,25 - 45,Caucasian,0,0,0,0,0,2014-10-16 05:43:29,2014-10-16 12:40:42,0.289733796293149,0,M,1,2,Low,1
Female,Less than 25,Caucasian,0,0,0,0,-2,2013-11-20 04:12:09,2013-11-21 07:53:21,1.1536111111127,1,F,0,4,Low,0
Male,Less than 25,Hispanic,0,0,0,1,0,2013-02-08 04:50:02,2013-02-09 04:43:17,0.99531250000291,1,F,1,4,Low,1
Male,25 - 45,Caucasian,0,0,0,1,-1,2013-01-24 03:43:22,2013-01-25 09:12:10,1.22833333333983,1,M,0,1,Low,0
Male,25 - 45,Other,0,0,0,0,-1,2013-05-10 08:38:16,2013-05-12 03:33:36,1.78842592592264,2,M,0,3,Low,0
Male,25 - 45,African-American,0,0,0,8,-1,2013-05-05 09:07:10,2013-05-22 09:08:22,17.0008333333317,17,F,1,3,Low,1
Male,25 - 45,African-American,0,0,1,5,-1,2013-02-19 07:47:55,2013-02-20 06:33:11,0.948101851856336,1,F,1,7,Medium,1
Male,25 - 45,African-American,0,0,0,0,0,2014-10-24 12:50:50,2014-12-01 07:49:53,37.7910069444406,38,F,1,10,High,1
Male,25 - 45,Caucasian,0,0,0,9,0,2013-01-28 02:28:42,2013-03-13 07:32:52,44.211226851854,44,F,1,9,High,1
Male,25 - 45,African-American,0,0,0,4,-1,2014-11-14 03:07:02,2014-11-15 04:56:55,1.0763078703676,1,F,1,8,High,1
